country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Norway,NOR,4/29/21,1700785,1343500,357285,64674,27420,31.37,24.78,6.59,5058,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Panama,PAN,4/29/21,672159,482089,190070,28220,11637,15.58,11.17,4.41,2697,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1387935992707964931
Philippines,PHL,4/29/21,1880975,1614420,266555,,31649,1.72,1.47,0.24,289,"Oxford/AstraZeneca, Sinovac",Government of the Philippines,https://www.covid19.gov.ph/
Poland,POL,4/29/21,11470800,8597875,2872925,389431,237691,30.31,22.72,7.59,6280,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,4/29/21,3203178,2339925,863231,72771,53396,31.41,22.95,8.47,5237,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,4/29/21,1526775,971973,554982,29942,25907,52.99,33.74,19.26,8992,Pfizer/BioNTech,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,4/29/21,5161840,3255570,1906270,80391,83831,26.83,16.92,9.91,4358,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,4/29/21,19523861,12152170,7371691,480090,329364,13.38,8.33,5.05,2257,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saint Lucia,LCA,4/29/21,24230,,,107,55,13.2,,,300,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
San Marino,SMR,4/29/21,28970,20269,8701,,547,85.36,59.72,25.64,16118,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
Saudi Arabia,SAU,4/29/21,9000505,,,152880,176143,25.85,,,5060,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
Senegal,SEN,4/29/21,410924,410924,,3943,2641,2.45,2.45,,158,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1387723943776301057
